Company Name,ticker,username,password
AAR Corp. ,AIR,user_AIR,CkeMQRlE8481
ABB Ltd ,ABBN,user_ABBN,HHvLmRLP4991
Abbott Laboratories ,ABT,user_ABT,uhJTaXeJ9630
"Acuity Brands, Inc. ",AYI,user_AYI,sTxpyjDa2929
"Advance Auto Parts, Inc. ",AAP,user_AAP,HswhFMeg0599
"Advanced Drainage Systems, Inc. ",WMS,user_WMS,mvVhEoEK4984
"Advanced Micro Devices, Inc. ",AMD,user_AMD,RMovrjuP1221
AGCO Corporation ,AGCO,user_AGCO,JLyyhFKj1629
"Agilent Technologies, Inc. ",A,user_A,pRBjgMgJ4347
"Air Products and Chemicals, Inc. ",APD,user_APD,xzvJUXxd9264
Albemarle Corporation ,ALB,user_ALB,ZVFYHRAf8761
Alcoa Corporation ,AA,user_AA,wciLLDwa3280
Alcon Inc. ,ALC,user_ALC,mdDpCEoV9688
Algonquin Power & Utilities Corp. ,AQN,user_AQN,GAlyitGP8786
Alibaba Group Holding Limited ,BABA,user_BABA,IdJcxZXp1313
Alkermes plc ,ALKS,user_ALKS,rbLyPiFP2751
Alphabet Inc. ,GOOG.L,user_GOOG.L,ShTukxjy9588
Altra Industrial Motion Corp. ,AIMC,user_AIMC,yiMAqRgV7967
Ambev S.A. ,ABEV3,user_ABEV3,GDPqKElS7948
American Airlines Group Inc. ,AAL,user_AAL,eoKtGswN1912
"AMETEK, Inc. ",AME,user_AME,iuPsoJnU6436
"Amkor Technology, Inc. ",AMKR,user_AMKR,OTcnmPto0460
Amphenol Corporation ,APH,user_APH,MZLgscaM5188
"Analog Devices, Inc. ",ADI,user_ADI,NqaBUpqC6843
AngloGold Ashanti Limited ,ANG,user_ANG,phFHEEqV7889
"Applied Materials, Inc. ",AMAT,user_AMAT,OgULjYws4153
Aptiv PLC ,APTV,user_APTV,iQEMoaRs4985
ArcelorMittal ,MT,user_MT,kDODWbjc4918
Archer-Daniels-Midland Company ,ADM,user_ADM,DRZdMvOL1620
Arconic Corporation ,ARNC,user_ARNC,iAlezmAp4407
"Arcosa, Inc. ",ACA,user_ACA,ApaoorJa4990
"Array Technologies, Inc. ",ARRY,user_ARRY,EKtKFhiO3940
"Arrow Electronics, Inc. ",ARW,user_ARW,tLDyuiAc7024
Ashland Global Holdings Inc. ,ASH,user_ASH,uUQOkrrY4008
Atkore Inc. ,ATKR,user_ATKR,yEZMAFVi7022
Atmos Energy Corporation ,ATO,user_ATO,IsjSJxhn8429
"AutoZone, Inc. ",AZO,user_AZO,ZKnvrLDj2551
"Avangrid, Inc. ",AGR,user_AGR,YifDwYzd1274
"Avnet, Inc. ",AVT,user_AVT,tjBViqnz1844
Baker Hughes Company ,BKR,user_BKR,vqkSfOvg4464
Barrick Gold Corporation ,ABX,user_ABX,hQDsRxTY2946
"Bath & Body Works, Inc. ",BBWI,user_BBWI,twjLAZZH1928
Baxter International Inc. ,BAX,user_BAX,XaOHJvJH3390
"Beacon Roofing Supply, Inc. ",BECN,user_BECN,vSISaYMJ9874
"Becton, Dickinson and Company ",BDX,user_BDX,lZgQEnmS5248
"BellRing Brands, Inc. ",BRBR,user_BRBR,UOwLNHHD8785
Berkshire Hathaway Inc. ,BRK.A,user_BRK.A,gzavRARR4811
"Best Buy Co., Inc. ",BBY,user_BBY,zEjxLcMr6398
"Bio-Rad Laboratories, Inc. ",BIO,user_BIO,pYTtPEGb4857
Biogen Inc. ,BIIB,user_BIIB,IloGlbzq0039
Boise Cascade Company ,BCC,user_BCC,UdKlTImH6551
BorgWarner Inc. ,BWA,user_BWA,HCzmhiGN3609
Boston Scientific Corporation ,BSX,user_BSX,LcxyELEh3770
BP p.l.c. ,BP.,user_BP.,umWQBSZT4832
Braskem S.A. ,BRKM5,user_BRKM5,qjBdTWPG5961
British American Tobacco p.l.c. ,BATS,user_BATS,TRzaTXGP1209
Brown-Forman Corporation ,BF.B,user_BF.B,xfcLqvRz5915
Brunswick Corporation ,BC,user_BC,StzOlTQE8475
"Calumet Specialty Products Partners, L.P. ",CLMT,user_CLMT,BvjjJEEK0548
Cameco Corporation ,CCO,user_CCO,CWkLujMl4545
Canadian National Railway Company ,CNR,user_CNR,WiUpGnyM6377
Canadian Natural Resources Limited ,CNQ,user_CNQ,UCfFEJxG1186
Canon Inc. ,7751,user_7751,NBMhijad4510
Canopy Growth Corporation ,WEED,user_WEED,GTqQBYFO8369
Carlisle Companies Incorporated ,CSL,user_CSL,JgpDbNwH8915
Carpenter Technology Corporation ,CRS,user_CRS,ZKrZbuWb8837
